I_D,YEAR,EQ_PRIMARY,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,TOTAL_DEATHS,TOTAL_INJURIES,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DAMAGED
7745,2008,5.6,KYRGYZSTAN,KYRGYZSTAN:  OSH,40.288,72.985,0,,5385,
7746,2008,5.6,GUATEMALA,"GUATEMALA:  COLOMBA, FLORES, COSTA CUCA",14.129,-91.479,0,,,
7747,2008,5.9,INDONESIA,"INDONESIA: NEW GUINEA: MANOKWARI,",-0.795,134.012,0,6,,22
7748,2008,4.6,ALGERIA,ALGERIA:  ORAN,35.616,-0.57,1,,,
7749,2008,5,BANGLADESH,"INDIA-BANGLADESH:  RANGAMATI, BANGLADESH",22.761,92.333,0,,,
7750,2008,6.1,INDONESIA,INDONESIA:  SUMATRA:  NIAS ISLAND:  GUNUNGSITOLI,1.011,97.442,1,5,,
7764,2008,5.9,CONGO,CONGO:  BUKAVU,-2.296,28.9,38,717,99,815
7765,2008,4.3,INDIA,INDIA:  WEST BENGAL,23.433,87.111,1,50,,
7766,2008,5.1,MEXICO,MEXICO:  BAJA CALIFORNIA,32.456,-115.315,0,,,
7767,2008,4.9,IRAN,IRAN:  NASIRABAD,31.73,51.2,0,10,,70
7768,2008,4.9,RWANDA,RWANDA:  GISENYI,-2.404,28.918,1,109,,5
7769,2008,5,LEBANON,LEBANON-SYRIA:  BAALBEC,33.327,35.305,0,10,,
7870,2008,7.4,INDONESIA,INDONESIA:  SUMATERA:  ACEH PROVINCE,2.768,95.964,3,25,,
7871,2008,6,USA,NEVADA:  WELLS,41.153,-114.867,0,3,,720
7743,2008,6.5,INDONESIA,INDONESIA:  SUMATRA:  PADANG,-2.486,99.972,0,,,
7872,2008,4.8,UK,UNITED KINGDOM:  ENGLAND:  LINCOLNSHIRE,53.403,-0.332,0,1,,
7873,2008,4.3,BRAZIL,BRAZIL:  SOBRAL,-3.7,-40.35,0,,,
