COUNTRY,LATITUDE,LONGITUDE,TOTAL_DEATHS,TOTAL_INJURIES,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DAMAGED
KYRGYZSTAN,40.288,72.985,,,5385,
GUATEMALA,14.129,-91.479,,,,
INDONESIA,-0.795,134.012,,6,,22
ALGERIA,35.616,-0.57,1,,,
BANGLADESH,22.761,92.333,,,,
INDONESIA,1.011,97.442,1,5,,
CONGO,-2.296,28.9,38,717,99,815
INDIA,23.433,87.111,1,50,,
MEXICO,32.456,-115.315,,,,
IRAN,31.73,51.2,,10,,70
RWANDA,-2.404,28.918,1,109,,5
LEBANON,33.327,35.305,,10,,
INDONESIA,2.768,95.964,3,25,,
USA,41.153,-114.867,,3,,720
INDONESIA,-2.486,99.972,,,,
UK,53.403,-0.332,,1,,
BRAZIL,-3.7,-40.35,,,,
INDIA,23.33,70.592,,,,
CHINA,35.49,81.467,,,2200,
PERU,-12.178,-77.164,,1,5,
NEW CALEDONIA,-20.071,168.892,,,,
GUATEMALA,13.564,-90.599,,,,8
USA,38.452,-87.886,,,,
USA,39.52,-119.93,,,,
VANUATU,-19.941,168.953,,,,
IRAN,33.86,48.59,,100,,
JAPAN,36.158,141.521,,6,,
CHINA,31.002,103.322,87652,374171,5360000,21000000
BRAZIL,-3.91,-40.44,,,,
COLOMBIA,4.33,-73.764,6,,,
CHINA,32.57,105.424,8,927,400000,
COSTA RICA,8.423,-82.968,,,,
CHINA,32.71,105.54,,,20000,
ICELAND,64.004,-21.012,,30,,
ALGERIA,35.883,-0.658,1,30,,
INDIA,24.702,84.964,,2,,
GREECE,37.963,21.525,2,240,1156,
JAPAN,39.03,140.881,13,357,,614
PERU,-10.368,-75.512,,45,60,25
IRAN,35.5,58.8,,,,
RUSSIA,53.882,152.886,,,,
PERU,-15.986,-71.748,1,,,
JAPAN,37.552,142.214,,,,
JAPAN,39.802,141.464,1,200,,90
CHINA,32.747,105.542,1,17,1200,
USA,33.953,-117.761,,8,,
CHINA,32.036,104.722,,231,540,2450
CHINA,32.756,105.494,4,29,,
VENEZUELA,10.514,-64.171,,,,50
PHILIPPINES,12.897,124.319,,,,
CHINA,25.051,97.919,,,5,2420
CHINA,25.044,97.684,5,127,,
NEW ZEALAND,-39.715,176.851,,,,
CHINA,30.901,83.52,,,,700
ATLANTIC OCEAN,-52.533,26.417,,,,
RUSSIA,51.607,104.158,,,,
CHINA,26.272,101.937,43,589,392000,
TURKEY,37.507,38.503,,,,
INDONESIA,-3.935,103.058,2,,,113
IRAN,26.743,55.828,7,45,,
JAPAN,41.892,143.754,,,,
INDIA,17.438,73.915,1,20,,1500
KYRGYZSTAN,39.533,73.824,74,140,,
CHINA,29.807,90.35,9,19,,
RUSSIA,43.372,46.254,13,100,,1027
PAKISTAN,30.639,67.351,166,370,3487,4125
PAKISTAN,30.598,67.455,,1,,
CHINA,37.565,95.833,,3,,
INDONESIA,1.271,122.091,6,77,,1000
PANAMA,8.267,-82.967,,,,
CZECH REPUBLIC,49.914,18.455,2,3,,
IRAN,26.99,55.8,,5,,
CHINA,32.518,105.395,2,3,,
ARGENTINA,-32.938,-69.259,,,,
CHINA,23.97,97.569,,19,30,5400
MYANMAR (BURMA),23.97,97.569,,19,30,5400
AFGHANISTAN,36.401,71.075,,,,
INDONESIA,-0.414,132.885,5,250,,840
INDONESIA,-0.691,133.305,,,,
COSTA RICA,10.165,-84.197,23,100,518,
RUSSIA,46.857,155.154,,,,
PERU,-11.779,-75.626,,,50,500
